Chivres-en-Laonnois,2350,367
Saint-Gobain,2410,2337
Ugny-le-Gay,2300,163
Happencourt,2480,148
Prouvais,2190,379
Azy-sur-Marne,2400,387
Terny-Sorny,2880,304
Droizy,2210,75
Pignicourt,2190,164
Moussy-Verneuil,2160,127
Aguilcourt,2190,349
Montaigu,2820,732
Moulins,2160,99
Saulchery,2310,658
Nanteuil-la-Fosse,2880,147
Guignicourt,2190,2111
Bucy-le-Long,2880,1955
Longpont,2600,294
Montgobert,2600,198
Noircourt,2340,90
Rozet-Saint-Albin,2210,286
Chivy-lès-Étouvelles,2000,503
Chavonne,2370,193
Artonges,2330,184
Oisy,2450,428
Juvigny,2880,280
Marchais-en-Brie,2540,275
Bouconville-Vauclair,2860,181
La Bouteille,2140,502
Ly-Fontaine,2440,120
Logny-lès-Aubenton,2500,77
Cuirieux,2350,161
Iron,2510,222
Joncourt,2420,322
Effry,2500,353
Jumigny,2160,69
Chaourse,2340,535
Saint-Rémy-Blanzy,2210,234
Beaumont-en-Beine,2300,161
Le Plessier-Huleu,2210,76
Estrées,2420,416
Baulne-en-Brie,2330,288
Guivry,2300,263
Variscourt,2190,214
Châtillon-sur-Oise,2240,129
Soissons,2200,28646
Bray-Saint-Christophe,2480,80
Le Hérie-la-Viéville,2120,239
Aubenton,2500,713
Braye,2880,120
Brissay-Choigny,2240,317
Remaucourt,2100,319
Seraucourt-le-Grand,2790,789
Berry-au-Bac,2190,575
Vivaise,2870,768
Proviseux-et-Plesnoy,2190,116
Caumont,2300,562
Villers-le-Sec,2240,277
Vichel-Nanteuil,2210,95
Romery,2120,84
Fontaine-lès-Clercs,2680,289
Chéry-lès-Pouilly,2000,673
Pithon,2480,75
Beaurieux,2160,793
Sinceny,2300,2152
Bouffignereux,2160,103
Saint-Gengoulph,2810,149
Pargny-les-Bois,2270,136
Montigny-l'Allier,2810,272
Beuvardes,2130,721
Cuissy-et-Geny,2160,66
Reuilly-Sauvigny,2850,229
Vailly-sur-Aisne,2370,2081
Bièvres,2860,73
Berny-Rivière,2290,613
Perles,2160,80
Fontenelle-en-Brie,2540,210
Neuflieux,2300,95
Sainte-Croix,2820,139
Pargny-la-Dhuys,2330,170
Brenelle,2220,199
Urvillers,2690,610
Laversine,2600,152
Origny-Sainte-Benoite,2390,1726
Cuiry-Housse,2220,107
La Neuville-lès-Dorengt,2450,385
Blanzy-lès-Fismes,2160,91
Hargicourt,2420,557
Villers-sur-Fère,2130,486
La Hérie,2500,153
Bonnesvalyn,2400,242
Haution,2140,147
Berzy-le-Sec,2200,396
La Vallée-au-Blé,2140,347
Le Catelet,2420,194
Gizy,2350,684
Saint-Algis,2260,159
Saint-Aubin,2300,322
Bancigny,2140,28
Villeneuve-sur-Fère,2130,286
Fleury,2600,129
Quincy-sous-le-Mont,2220,66
Besny-et-Loizy,2870,372
Chéry-lès-Rozoy,2360,105
Chauny,2300,11983
Sommette-Eaucourt,2480,158
Lierval,2860,115
Chézy-sur-Marne,2570,1327
Oulches-la-Vallée-Foulon,2160,63
Anizy-le-Château,2320,1895
Maizy,2160,425
Fourdrain,2870,404
Nampteuil-sous-Muret,2200,85
Urcel,2000,549
Louâtre,2600,213
Barzy-en-Thiérache,2170,306
Condé-en-Brie,2330,656
Dampleux,2600,437
Sommelans,2470,57
Pontruet,2490,339
Oigny-en-Valois,2600,142
Loupeigne,2130,78
Lhuys,2220,149
Éparcy,2500,44
La Chapelle-Monthodon,2330,189
Morsain,2290,426
Jaulgonne,2850,666
Chermizy-Ailles,2860,96
Becquigny,2110,284
Festieux,2840,604
Villers-lès-Guise,2120,165
Nampcelles-la-Cour,2140,137
Montigny-en-Arrouaise,2110,300
Berrieux,2820,177
Chigny,2120,155
Muret-et-Crouttes,2210,139
Flavigny-le-Grand-et-Beaurain,2120,473
Laon,2000,25986
Saint-Clément,2360,51
Dercy,2270,367
Anguilcourt-le-Sart,2800,292
Villers-en-Prayères,2160,122
Chalandry,2270,217
Laval-en-Laonnois,2860,255
Fressancourt,2800,210
Le Sourd,2140,162
Fontaine-Notre-Dame,2110,384
Chéry-Chartreuve,2220,341
Mortefontaine,2600,239
Serain,2110,381
Maast-et-Violaine,2220,160
Neuville-sur-Ailette,2860,96
Francilly-Selency,2760,465
Bézu-le-Guéry,2310,259
Marle,2250,2351
Lemé,2140,447
Cierges,2130,74
Craonne,2160,76
Courtemont-Varennes,2850,298
Pommiers,2200,637
Gland,2400,497
Landouzy-la-Cour,2140,167
Montigny-lès-Condé,2330,79
Leuilly-sous-Coucy,2380,413
